time,e1,e2,r1,r2,tau1,tau2
0.0,0.0,0.0,3.021695e-17,6.04339e-17,-2.6514685,-0.7834999
0.0050004167,7.748604e-06,1.5505671e-05,0.013976547,-0.0021682784,-2.6407366,-0.7776143
0.010000833,8.523464e-05,1.9861913e-05,0.028242316,-0.0044558435,-2.6299644,-0.77172387
0.01500125,0.00023257732,1.2694669e-05,0.0427941,-0.0068575246,-2.6191475,-0.76582694
0.020001667,0.00044965744,-6.336806e-06,0.057627708,-0.009367961,-2.6082823,-0.7599215
0.025002083,0.000736475,-3.7539576e-05,0.07273939,-0.011981626,-2.5973637,-0.75400627
0.0300025,0.0010931492,-8.118694e-05,0.08812584,-0.014692779,-2.586386,-0.7480799
0.035002917,0.00151968,-0.00013751816,0.103783205,-0.017495465,-2.5753443,-0.7421418
0.040003333,0.0020160675,-0.00020673778,0.11970759,-0.02038351,-2.5642314,-0.7361909
0.04500375,0.0025820732,-0.00028901547,0.13589406,-0.023350481,-2.5530412,-0.7302271
0.050004166,0.0032176971,-0.00038448523,0.15233858,-0.026389688,-2.541765,-0.72424936
0.055004586,0.003922701,-0.00049324497,0.16903606,-0.029494159,-2.5303955,-0.7182581
0.060005,0.0046972036,-0.000615356,0.18598275,-0.032656662,-2.518923,-0.7122531
0.065005414,0.005540848,-0.0007508423,0.20317289,-0.035869624,-2.5073388,-0.70623463
0.070005834,0.0064536333,-0.00089968834,0.22060211,-0.03912515,-2.4956322,-0.70020324
0.075006254,0.0074352026,-0.0010618409,0.23826438,-0.042415034,-2.4837935,-0.6941596
0.08000667,0.008485556,-0.0012372071,0.25615507,-0.04573069,-2.4718108,-0.68810457
0.08500709,0.009604454,-0.0014256504,0.27426842,-0.04906316,-2.4596727,-0.68203914
0.0900075,0.010791302,-0.0016269959,0.29259712,-0.052403145,-2.4473658,-0.67596394
0.09500792,0.012046218,-0.0018410222,0.3111366,-0.055740878,-2.434877,-0.66988003
0.10000833,0.013368726,-0.0020674658,0.32987973,-0.059066266,-2.4221935,-0.6637893
0.10500875,0.014758468,-0.002306017,0.34881973,-0.062368747,-2.4092994,-0.65769184
0.11000917,0.016215086,-0.0025563193,0.36794963,-0.065637365,-2.3961806,-0.6515899
0.11500958,0.017738223,-0.0028179707,0.38726234,-0.06886068,-2.3828201,-0.6454836
0.12001,0.019327521,-0.0030905157,0.40675062,-0.07202685,-2.3692033,-0.639375
0.12501042,0.020982385,-0.0033734543,0.4264061,-0.07512358,-2.355312,-0.63326436
0.13001083,0.022702456,-0.0036662295,0.44622117,-0.07813811,-2.3411298,-0.6271529
0.13501126,0.024487138,-0.0039682332,0.46618712,-0.08105721,-2.3266375,-0.62104094
0.14001167,0.026335955,-0.004278808,0.48629558,-0.0838673,-2.3118181,-0.6149294
0.14501208,0.02824831,-0.0045972364,0.50653756,-0.086554244,-2.2966523,-0.60881776
0.15001251,0.030223727,-0.004922743,0.5269044,-0.089103535,-2.2811205,-0.6027064
0.15501292,0.03226149,-0.005254505,0.5473863,-0.09150023,-2.2652037,-0.5965942
0.16001333,0.034360886,-0.005591631,0.56797326,-0.093729004,-2.2488806,-0.5904802
0.16501375,0.036521196,-0.0059331767,0.58865535,-0.09577407,-2.2321322,-0.5843626
0.17001417,0.03874159,-0.0062781293,0.60942197,-0.09761933,-2.214937,-0.5782392
0.17501459,0.041021466,-0.0066254325,0.6302632,-0.099248394,-2.197275,-0.5721072
0.180015,0.043359995,-0.00697395,0.6511684,-0.10064446,-2.1791236,-0.5659625
0.18501543,0.04575622,-0.007322496,0.6721262,-0.10179048,-2.160464,-0.5598012
0.19001584,0.04820919,-0.0076698232,0.693125,-0.10266929,-2.1412747,-0.55361784
0.19501625,0.05071819,-0.008014619,0.71415454,-0.10326338,-2.1215336,-0.54740614
0.20001666,0.05328214,-0.0083555095,0.73520285,-0.10355513,-2.1012201,-0.5411586
0.20501709,0.055900097,-0.008691059,0.75625855,-0.10352684,-2.0803146,-0.5348675
0.2100175,0.05857098,-0.009019783,0.7773098,-0.10316088,-2.0587957,-0.5285226
0.21501791,0.061293483,-0.009340124,0.7983438,-0.10243956,-2.036643,-0.5221135
0.22001834,0.06406677,-0.009650473,0.81935,-0.101345226,-2.0138364,-0.51562804
0.22501875,0.06688976,-0.009949172,0.8403169,-0.099860616,-1.9903564,-0.50905323
0.23001917,0.06976104,-0.010234494,0.8612317,-0.097968444,-1.9661837,-0.502374
0.23501958,0.0726794,-0.010504678,0.8820829,-0.095651925,-1.9412988,-0.49557355
0.24002,0.07564378,-0.010757897,0.90285957,-0.09289469,-1.9156852,-0.48863533
0.24502042,0.07865274,-0.010992296,0.92354983,-0.08968085,-1.8893237,-0.48153916
0.25002083,0.081704855,-0.011205964,0.944142,-0.08599508,-1.862197,-0.47426406
0.25502124,0.08479893,-0.011396956,0.9646257,-0.0818228,-1.8342881,-0.46678773
0.26002166,0.08793354,-0.011563297,0.98499024,-0.07715024,-1.8055811,-0.4590858
0.2650221,0.09110725,-0.01170297,1.0052252,-0.07196435,-1.7760609,-0.45113268
0.2700225,0.09431863,-0.011813957,1.0253204,-0.06625341,-1.7457105,-0.44290054
0.27502292,0.09756625,-0.011894196,1.0452669,-0.06000644,-1.7145174,-0.43436074
0.28002334,0.10084844,-0.01194163,1.0650547,-0.05321391,-1.6824651,-0.42548186
0.28502375,0.10416412,-0.011954181,1.084677,-0.045867413,-1.6495414,-0.4162324
0.29002416,0.1075114,-0.011929784,1.1041248,-0.037960038,-1.615732,-0.40657765
0.29502457,0.1108892,-0.011866372,1.1233923,-0.029486343,-1.5810239,-0.3964833
0.30002502,0.11429584,-0.011761878,1.1424727,-0.020442411,-1.5454042,-0.38591254
0.30502543,0.117729664,-0.011614297,1.1613597,-0.010826156,-1.5088594,-0.37482697
0.31002584,0.121189,-0.011421617,1.1800476,-0.00063709915,-1.4713767,-0.36318782
0.31502625,0.12467289,-0.011181887,1.1985348,0.010123327,-1.4329429,-0.35095528
0.32002667,0.12817931,-0.010893181,1.216816,0.021451801,-1.3935447,-0.33808815
0.32502708,0.13170683,-0.010553643,1.2348888,0.033343047,-1.3531687,-0.32454473
0.3300275,0.1352545,-0.010161474,1.2527541,0.04578972,-1.3118012,-0.3102836
0.33502793,0.13882029,-0.009714939,1.2704091,0.058782578,-1.2694275,-0.29526135
0.34002835,0.14240313,-0.009212419,1.2878556,0.07230982,-1.2260333,-0.2794364
0.34502876,0.14600146,-0.008652352,1.3050946,0.08635801,-1.1816026,-0.26276556
0.35002917,0.1496141,-0.0080332905,1.3221291,0.10091129,-1.1361196,-0.24520731
0.35502958,0.15323961,-0.0073538795,1.3389621,0.11595172,-1.0895665,-0.22671968
0.36003,0.1568768,-0.006612897,1.3555981,0.1314593,-1.0419255,-0.20726202
0.3650304,0.16052425,-0.00580924,1.3720418,0.14741176,-0.99317825,-0.18679494
0.37003085,0.16418111,-0.0049419105,1.3883009,0.16378507,-0.9433055,-0.16528058
0.37503126,0.16784608,-0.0040101185,1.4043815,0.18055269,-0.8922872,-0.14268227
0.38003168,0.17151797,-0.0030131713,1.4202912,0.19768655,-0.8401013,-0.118965454
0.3850321,0.17519605,-0.0019505322,1.4360402,0.21515658,-0.7867268,-0.094098024
0.3900325,0.17887926,-0.0008218363,1.4516371,0.2329309,-0.73214173,-0.06805102
0.3950329,0.18256676,0.00037310272,1.4670928,0.250976,-0.6763235,-0.04079716
0.40003332,0.18625772,0.001634337,1.482418,0.26925692,-0.6192485,-0.012313068
0.40503377,0.18995154,0.0029617175,1.4976246,0.2877372,-0.5608948,0.017420925
0.41003418,0.19364738,0.0043548867,1.5127242,0.306379,-0.5012391,0.04842159
0.4150346,0.1973449,0.0058133677,1.5277301,0.3251436,-0.4402585,0.08070125
0.420035,0.20104349,0.007336445,1.5426548,0.3439913,-0.37793165,0.11426778
0.42503542,0.20474267,0.008923255,1.5575113,0.36288175,-0.31423765,0.14912485
0.43003583,0.20844221,0.010572739,1.5723132,0.38177383,-0.24915564,0.18527204
0.43503624,0.21214163,0.012283646,1.5870731,0.40062633,-0.18266779,0.22270325
