time,e1,e2,r1,r2,tau1,tau2
0.0,0.0,0.0,3.021695e-17,6.04339e-17,-2.4639032,-0.78254324
0.0050004167,7.748604e-06,1.5505671e-05,-0.025375204,0.033631332,-2.5460787,-0.7038506
0.010000833,-0.000111579895,0.00019878245,-0.048990317,0.06252316,-2.6249764,-0.6361171
0.01500125,-0.00034594536,0.00052193785,-0.071011916,0.08709919,-2.7010834,-0.57855594
0.020001667,-0.00068461895,0.0009598953,-0.09159613,0.107756756,-2.77487,-0.530434
0.025002083,-0.0011177063,0.001490192,-0.11088716,0.12486809,-2.8467698,-0.49106333
0.0300025,-0.0016365051,0.0020927875,-0.12901996,0.13878128,-2.9171767,-0.4597935
0.035002917,-0.0022329092,0.002749883,-0.14611807,0.1498214,-2.9864397,-0.43600652
0.040003333,-0.002899766,0.0034457503,-0.16229635,0.15829167,-3.0548654,-0.41911197
0.04500375,-0.0036309958,0.00416657,-0.17766216,0.16447397,-3.1227217,-0.40854385
0.050004166,-0.0044207573,0.0049002776,-0.19231182,0.16862959,-3.190234,-0.40376064
0.055004586,-0.005264163,0.005636418,-0.20633498,0.17100014,-3.257594,-0.40424353
0.060005,-0.0061564445,0.006366003,-0.21981098,0.17180803,-3.3249602,-0.4094984
0.065005414,-0.0070939064,0.007081383,-0.23281428,0.17125733,-3.392468,-0.41905487
0.070005834,-0.008072853,0.0077761197,-0.24540956,0.1695344,-3.4602242,-0.43246803
0.075006254,-0.009090424,0.008444868,-0.25765672,0.16680872,-3.5283203,-0.44931933
0.08000667,-0.010143757,0.009083262,-0.26960707,0.16323374,-3.5968263,-0.4692172
0.08500709,-0.01123035,0.009687815,-0.28130576,0.1589477,-3.6657968,-0.4917967
0.0900075,-0.0123484135,0.010255815,-0.2927944,0.15407476,-3.7352793,-0.5167207
0.09500792,-0.013495922,0.010785244,-0.3041065,0.14872551,-3.805303,-0.5436777
0.10000833,-0.014671326,0.0112746805,-0.31527185,0.14299831,-3.875892,-0.57238346
0.10500875,-0.015873194,0.011723235,-0.3263152,0.13698,-3.9470582,-0.6025776
0.11000917,-0.017100215,0.012130477,-0.3372568,0.13074696,-4.0188065,-0.63402426
0.11500958,-0.018351316,0.012496358,-0.3481136,0.12436594,-4.0911326,-0.6665096
0.12001,-0.019625306,0.012821178,-0.35889775,0.117894985,-4.164027,-0.6998403
0.12501042,-0.020921469,0.013105509,-0.3696202,0.11138412,-4.237471,-0.73384184
0.13001083,-0.02223885,0.013350166,-0.38028747,0.104876414,-4.311438,-0.7683573
0.13501126,-0.023576617,0.013556156,-0.3909038,0.098408386,-4.385896,-0.80324554
0.14001167,-0.024934053,0.013724641,-0.40147156,0.09201086,-4.4608045,-0.8383794
0.14501208,-0.026310444,0.013856911,-0.41199106,0.08570962,-4.5361147,-0.8736433
0.15001251,-0.027704954,0.013954355,-0.42246002,0.079525955,-4.6117706,-0.9089333
0.15501292,-0.029116988,0.014018428,-0.43287605,0.07347722,-4.68771,-0.94415355
0.16001333,-0.030545712,0.014050638,-0.44323403,0.06757723,-4.763862,-0.9792176
0.16501375,-0.031990647,0.014052525,-0.45352966,0.06183681,-4.8401504,-1.0140448
0.17001417,-0.03345096,0.014025651,-0.4637559,0.056264065,-4.9164896,-1.0485604
0.17501459,-0.034925938,0.013971562,-0.47390574,0.050864816,-4.992788,-1.0826948
0.180015,-0.036414623,0.013891812,-0.48397034,0.045642868,-5.068943,-1.116382
0.18501543,-0.03791654,0.013787929,-0.49394295,0.040600494,-5.144853,-1.1495582
0.19001584,-0.039430857,0.013661409,-0.5038147,0.035738274,-5.2204056,-1.1821642
0.19501625,-0.040956616,0.013513719,-0.51357615,0.031055652,-5.2954803,-1.2141399
0.20001666,-0.042492867,0.013346287,-0.52321756,0.026551083,-5.369953,-1.2454294
0.20501709,-0.04403913,0.0131605,-0.5327319,0.022222206,-5.4436975,-1.2759752
0.2100175,-0.045594215,0.012957688,-0.5421086,0.018065706,-5.516578,-1.3057238
0.21501791,-0.047157407,0.012739141,-0.5513396,0.014077783,-5.588459,-1.3346194
0.22001834,-0.04872763,0.012506098,-0.5604154,0.010254353,-5.659196,-1.3626084
0.22501875,-0.050304055,0.012259735,-0.56932795,0.006590672,-5.7286468,-1.3896382
0.23001917,-0.051885605,0.012001192,-0.57806844,0.0030819476,-5.796665,-1.4156548
0.23501958,-0.053471327,0.011731541,-0.5866289,-0.00027695298,-5.863103,-1.4406064
0.24002,-0.055060267,0.011451814,-0.595002,-0.0034912638,-5.9278135,-1.4644408
0.24502042,-0.056651354,0.0111629795,-0.60318005,-0.0065663084,-5.990648,-1.4871085
